H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_OH(r)

 Bin no.        r             g(r)        std.
    355  10.59000      1.001515     0.2491192E-01
    356  10.62000      1.002737     0.2416622E-01
    357  10.65000      1.002279     0.2554042E-01
    358  10.68000      1.002113     0.2460860E-01
    359  10.71000      1.001812     0.2554276E-01
    360  10.74000      1.001697     0.2446771E-01
    361  10.77000      1.001624     0.2542816E-01
    362  10.80000      1.000856     0.2396063E-01
    363  10.83000     0.9993327     0.2456860E-01
    364  10.86000      1.001413     0.2458922E-01
    365  10.89000      1.000244     0.2409706E-01
    366  10.92000      1.000496     0.2393823E-01
    367  10.95000      1.000891     0.2403267E-01
    368  10.98000      1.000435     0.2412920E-01
    369  11.01000      1.000740     0.2408469E-01
    370  11.04000     0.9999489     0.2371811E-01
    371  11.07000      1.000467     0.2297777E-01
    372  11.10000     0.9995973     0.2466183E-01
    373  11.13000     0.9991900     0.2456618E-01
    374  11.16000      1.000143     0.2407727E-01
    375  11.19000     0.9986801     0.2389836E-01
    376  11.22000     0.9993251     0.2348831E-01
    377  11.25000     0.9986981     0.2369799E-01
    378  11.27999     0.9986188     0.2343241E-01
    379  11.30999     0.9985617     0.2352254E-01
    380  11.33999     0.9982331     0.2319721E-01
    381  11.36999     0.9988719     0.2384968E-01
    382  11.39999     0.9989137     0.2378210E-01
    383  11.42999     0.9985293     0.2308904E-01
    384  11.45999     0.9985128     0.2368416E-01
    385  11.48999     0.9978683     0.2304641E-01
    386  11.51999     0.9979641     0.2337766E-01
    387  11.54999     0.9985074     0.2340569E-01
    388  11.57999     0.9982732     0.2307484E-01
    389  11.60999     0.9988033     0.2309550E-01
    390  11.63999     0.9973204     0.2261037E-01
    391  11.66999     0.9978855     0.2259587E-01
    392  11.69999     0.9979606     0.2288159E-01
    393  11.72999     0.9977359     0.2294143E-01
    394  11.75999     0.9971473     0.2301276E-01
    395  11.78999     0.9975967     0.2180109E-01
    396  11.81999     0.9964535     0.2271426E-01
    397  11.84999     0.9971025     0.2215231E-01
    398  11.87999     0.9965497     0.2255759E-01
    399  11.90999     0.9966598     0.2264067E-01
    400  11.93999     0.9983563     0.2281376E-01
    401  11.96999     0.9971074     0.2243306E-01
    402  11.99999     0.9972667     0.2178878E-01
    403  12.02999     0.9976932     0.2282943E-01
    404  12.05999     0.9967555     0.2235720E-01
    405  12.08999     0.9974869     0.2202955E-01
    406  12.11999     0.9973198     0.2195773E-01
    407  12.14999     0.9973271     0.2204713E-01
    408  12.17999     0.9972445     0.2235720E-01
    409  12.20999     0.9973706     0.2219398E-01
    410  12.23999     0.9972757     0.2243306E-01
    411  12.26999     0.9973452     0.2169969E-01
    412  12.29999     0.9984260     0.2172989E-01
    413  12.32999     0.9981337     0.2253776E-01
    414  12.35999     0.9985650     0.2171205E-01
    415  12.38999     0.9989924     0.2216442E-01
    416  12.41998     0.9989083     0.2135358E-01
    417  12.44998     0.9989038     0.2175593E-01
    418  12.47998     0.9997615     0.2139820E-01
    419  12.50998     0.9998253     0.2159092E-01
    420  12.53998      1.000477     0.2137033E-01
    421  12.56998     0.9998767     0.2242110E-01
    422  12.59998     0.9999503     0.2152872E-01
    423  12.62998      1.000042     0.2077348E-01
    424  12.65998      1.000548     0.2136196E-01
    425  12.68998      1.000968     0.2173811E-01
    426  12.71998      1.000812     0.2127248E-01
    427  12.74998      1.000389     0.2132565E-01
    428  12.77998      1.000585     0.2017967E-01
    429  12.80998      1.001197     0.1988810E-01
    430  12.83998      1.001162     0.2090505E-01
    431  12.86998      1.001676     0.2104996E-01
    432  12.89998      1.001026     0.2132845E-01
    433  12.92998      1.001412     0.2187751E-01
    434  12.95998      1.001591     0.2070451E-01
    435  12.98998      1.001485     0.2154256E-01
    436  13.01998      1.001886     0.2208090E-01
    437  13.04998      1.002342     0.2149270E-01
    438  13.07998      1.001804     0.2148160E-01
    439  13.10998      1.002008     0.2144828E-01
    440  13.13998      1.001669     0.2065839E-01
    441  13.16998      1.001891     0.2141212E-01
    442  13.19998      1.001767     0.2176278E-01
    443  13.22998      1.001167     0.2114602E-01
    444  13.25998      1.001920     0.2117137E-01
    445  13.28998      1.001994     0.2135917E-01
    446  13.31998      1.002012     0.2241578E-01
    447  13.34998      1.001651     0.2173537E-01
    448  13.37998      1.001532     0.2180109E-01
    449  13.40998      1.001628     0.2208899E-01
    450  13.43998      1.001246     0.2162816E-01
    451  13.46998      1.001670     0.2096484E-01
    452  13.49998      1.001260     0.2102730E-01
    453  13.52997      1.001378     0.2178194E-01
    454  13.55997      1.000951     0.2183660E-01
    455  13.58997      1.001459     0.2254041E-01
    456  13.61997      1.001440     0.2181475E-01
    457  13.64997      1.001182     0.2199164E-01
    458  13.67997      1.001011     0.2151764E-01
    459  13.70997      1.000758     0.2203766E-01
    460  13.73997      1.000929     0.2236786E-01
    461  13.76997      1.001099     0.2226637E-01
    462  13.79997      1.001471     0.2233586E-01
    463  13.82997      1.002167     0.2253776E-01
    464  13.85997      1.000852     0.2161713E-01
    465  13.88997      1.001072     0.2175730E-01
    466  13.91997      1.000701     0.2242907E-01
    467  13.94997      1.000417     0.2197537E-01
    468  13.97997      1.000051     0.2235187E-01
    469  14.00997      1.000111     0.2291023E-01
    470  14.03997     0.9999019     0.2271164E-01
    471  14.06997     0.9995861     0.2286726E-01
    472  14.09997     0.9995063     0.2263014E-01
    473  14.12997     0.9991600     0.2308388E-01
    474  14.15997      1.000007     0.2325624E-01
    475  14.18997      1.000009     0.2324598E-01
    476  14.21997     0.9981313     0.2324085E-01
    477  14.24997     0.9986634     0.2299463E-01
    478  14.27997     0.9983529     0.2302700E-01
    479  14.30997     0.9991159     0.2248878E-01
    480  14.33997     0.9979969     0.2331128E-01
    481  14.36997     0.9983084     0.2268407E-01
    482  14.39997     0.9986197     0.2229179E-01
    483  14.42997     0.9977040     0.2322161E-01
