H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (a) g_HH(r)

 Bin no.        r             g(r)        std.
    279  8.310021     0.9983796     0.3200291E-01
    280  8.340021     0.9967970     0.3197124E-01
    281  8.370021     0.9964689     0.3125572E-01
    282  8.400021     0.9963359     0.3090091E-01
    283  8.430020     0.9957316     0.3153197E-01
    284  8.460020     0.9951026     0.3089705E-01
    285  8.490020     0.9948213     0.3113726E-01
    286  8.520020     0.9940643     0.3095006E-01
    287  8.550019     0.9948575     0.3181331E-01
    288  8.580019     0.9948773     0.3043348E-01
    289  8.610019     0.9933402     0.3126335E-01
    290  8.640018     0.9948975     0.3062773E-01
    291  8.670018     0.9945797     0.3070548E-01
    292  8.700018     0.9952940     0.3035504E-01
    293  8.730018     0.9951187     0.3022615E-01
    294  8.760017     0.9953706     0.3047360E-01
    295  8.790017     0.9945024     0.2995975E-01
    296  8.820017     0.9947240     0.3017780E-01
    297  8.850017     0.9955921     0.2941261E-01
    298  8.880016     0.9960642     0.2959544E-01
    299  8.910016     0.9951548     0.2976314E-01
    300  8.940016     0.9950329     0.2915820E-01
    301  8.970016     0.9959612     0.2926532E-01
    302  9.000015     0.9955093     0.2911627E-01
    303  9.030015     0.9950137     0.2934465E-01
    304  9.060015     0.9952316     0.2902194E-01
    305  9.090014     0.9949526     0.2881894E-01
    306  9.120014     0.9953540     0.2851015E-01
    307  9.150014     0.9965636     0.2906607E-01
    308  9.180014     0.9962649     0.2945210E-01
    309  9.210013     0.9962645     0.2875993E-01
    310  9.240013     0.9960686     0.2836868E-01
    311  9.270013     0.9968810     0.2841591E-01
    312  9.300013     0.9979233     0.2851851E-01
    313  9.330012     0.9978176     0.2849551E-01
    314  9.360012     0.9969769     0.2918578E-01
    315  9.390012     0.9980593     0.2820432E-01
    316  9.420012     0.9985923     0.2879721E-01
    317  9.450011     0.9987082     0.2811754E-01
    318  9.480011     0.9994892     0.2826027E-01
    319  9.510011     0.9997100     0.2781596E-01
    320  9.540010      1.000263     0.2754356E-01
    321  9.570010      1.000246     0.2754789E-01
    322  9.600010      1.001148     0.2774409E-01
    323  9.630010      1.001381     0.2764509E-01
    324  9.660009      1.001701     0.2800070E-01
    325  9.690009      1.002780     0.2730012E-01
    326  9.720009      1.002989     0.2762136E-01
    327  9.750009      1.002479     0.2796663E-01
    328  9.780008      1.003418     0.2707430E-01
    329  9.810008      1.003215     0.2730230E-01
    330  9.840008      1.003555     0.2705228E-01
    331  9.870008      1.003243     0.2766233E-01
    332  9.900007      1.002995     0.2667285E-01
    333  9.930007      1.003102     0.2694631E-01
    334  9.960007      1.003838     0.2658332E-01
    335  9.990006      1.003227     0.2601902E-01
    336  10.02001      1.002844     0.2667285E-01
    337  10.05001      1.002903     0.2643266E-01
    338  10.08001      1.002605     0.2599840E-01
    339  10.11001      1.002104     0.2671528E-01
    340  10.14001      1.003026     0.2643266E-01
    341  10.17000      1.002585     0.2617433E-01
    342  10.20000      1.001847     0.2613559E-01
    343  10.23000      1.002657     0.2489995E-01
    344  10.26000      1.002622     0.2566381E-01
    345  10.29000      1.002989     0.2575423E-01
    346  10.32000      1.002577     0.2567542E-01
    347  10.35000      1.002342     0.2521867E-01
    348  10.38000      1.002586     0.2613787E-01
    349  10.41000      1.002290     0.2541174E-01
    350  10.44000      1.003089     0.2574729E-01
    351  10.47000      1.002197     0.2545393E-01
    352  10.50000      1.002598     0.2497405E-01
    353  10.53000      1.002891     0.2623348E-01
    354  10.56000      1.002912     0.2524938E-01
    355  10.59000      1.002088     0.2501935E-01
    356  10.62000      1.002210     0.2479200E-01
    357  10.65000      1.002147     0.2427696E-01
    358  10.68000      1.002194     0.2587660E-01
    359  10.71000      1.001866     0.2484723E-01
    360  10.74000      1.000899     0.2477757E-01
    361  10.77000      1.001693     0.2534128E-01
    362  10.80000      1.001462     0.2535069E-01
    363  10.83000      1.001533     0.2456254E-01
    364  10.86000      1.001205     0.2481603E-01
    365  10.89000      1.001434     0.2393076E-01
    366  10.92000      1.000723     0.2445797E-01
    367  10.95000      1.000221     0.2483523E-01
    368  10.98000      1.000326     0.2370805E-01
    369  11.01000      1.001077     0.2357949E-01
    370  11.04000      1.000527     0.2470771E-01
    371  11.07000      1.000398     0.2423027E-01
    372  11.10000      1.000596     0.2423519E-01
    373  11.13000      1.000162     0.2361737E-01
    374  11.16000      1.000433     0.2407974E-01
    375  11.19000     0.9997343     0.2387965E-01
    376  11.22000      1.000453     0.2317150E-01
    377  11.25000     0.9994568     0.2334960E-01
    378  11.27999     0.9984522     0.2385717E-01
    379  11.30999     0.9991854     0.2343369E-01
    380  11.33999     0.9983490     0.2265120E-01
    381  11.36999     0.9995153     0.2380340E-01
    382  11.39999     0.9986620     0.2344004E-01
    383  11.42999     0.9987082     0.2354913E-01
    384  11.45999     0.9991346     0.2346673E-01
    385  11.48999     0.9986748     0.2278631E-01
    386  11.51999     0.9989164     0.2314062E-01
    387  11.54999     0.9982142     0.2308001E-01
    388  11.57999     0.9980298     0.2225299E-01
    389  11.60999     0.9988172     0.2258928E-01
    390  11.63999     0.9984083     0.2291283E-01
    391  11.66999     0.9982513     0.2226370E-01
    392  11.69999     0.9989083     0.2281246E-01
    393  11.72999     0.9983755     0.2198350E-01
